Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Primary School,Los Angeles,1,35 kWh,20 kW,491061,957089,$228K,$17.48,$0M,378 kW,193462,418736
Large_Light_&_Power_-_Primary_voltage_discount,Small Office,Minneapolis,1,0 kWh,0 kW,0,49547,$0K,$7.55,$0M,0 kW,0,0
GSD-1_(General_Service_Demand),Restaurant,Miami,1,0 kWh,0 kW,85357.5,199646,$1K,$10.60,$0M,3 kW,917.5,1553
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,203699,$0K,$2.32,$0M,0 kW,0,0
GSDT-1_(General_Service_Demand_-Time-Of-Use),Small Hotel,Miami,1,0 kWh,0 kW,194662,433017,$0K,$9.20,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Large Office,Anaheim,1,"1,091 kWh",282 kW,2600780,6888430,"$1,884K",$15.57,$1M,"2,705 kW",807660,4150470
GSEDS-1_Secondary_Non-Demand,Medium Office,Helena,1,0 kWh,0 kW,0,969700,$133K,$0.00,$0M,242 kW,0,291205
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Large Office,Seattle,1,0 kWh,0 kW,581365,4322940,$0K,$3.83,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Small Hotel,Boulder,1,4 kWh,4 kW,256686,236572,$3K,$18.90,$0M,0 kW,5817,229
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Outpatient,Anaheim,1,150 kWh,58 kW,858507,1099300,$333K,$38.02,$0M,483 kW,305632,511140
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Medium Office,San Francisco,1,245 kWh,61 kW,608513,742490,$263K,$34.72,$0M,319 kW,270106,395930
GS-2_(S)_Large_General_Service_Secondary,Restaurant,Fairbanks,1,0 kWh,0 kW,57532.3,506590,$45K,$11.06,$0M,83 kW,3039.7,116263
GSDT-1_(General_Service_Demand_-Time-Of-Use),Supermarket,Miami,1,0 kWh,0 kW,442694,1014260,$15K,$9.20,$0M,28 kW,11719,17082
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Large Hotel,LasVegas,1,0 kWh,0 kW,547920,1362130,$0K,$16.49,$0M,0 kW,0,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Supermarket,Los Angeles,1,49 kWh,20 kW,562018,1659890,$307K,$17.48,$0M,518 kW,127791,680828
General_Service_With_Demand_Meter_(Rate_Code_25),Retail Store,Minneapolis,1,0 kWh,0 kW,78587.7,387165,$66K,$5.86,$0M,120 kW,6571.3,111781
BES-Large_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,560689,1563540,$58K,$6.73,$0M,106 kW,20764,79370
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Small Office,Anaheim,1,10 kWh,3 kW,23892.9,98992.6,$24K,$9.97,$0M,36 kW,7554.7,57290.9
GSEDS-1_Primary_Demand,Secondary School,Helena,1,0 kWh,0 kW,528807,1636110,$125K,$7.90,$0M,228 kW,51314,207990
BES-Small_Load_Delivery_Class_(Secondary),Strip Mall,Chicago,1,0 kWh,0 kW,80081.4,308644,$0K,$6.18,$0M,0 kW,0,0
Schedule_MDD_-_Medium_Network_General_Service,Retail Store,Seattle,1,0 kWh,0 kW,50590.3,327988,$0K,$4.54,$0M,0 kW,0,0
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Supermarket,Seattle,1,0 kWh,0 kW,84094.8,1191180,$0K,$2.32,$0M,0 kW,0,0
Power_and_Light_Medium_Schedule_PLM-11,Medium Office,Atlanta,1,0 kWh,0 kW,0,402890,$0K,$0.00,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Strip Mall,Minneapolis,1,0 kWh,0 kW,75272.4,367324,$60K,$5.86,$0M,109 kW,6325,101085
